Girabbit,"Wednesday, September 5, 2018"
Semi Pro 12,"Wednesday, September 5, 2018"
Fred Rubble,"Wednesday, September 5, 2018"
Fever,2018-10-14 10:51:07.469217
Bonzer 3D,2018-10-14 11:02:35.359579
DFR,2018-10-14 11:03:12.682127
Weirdo Ripper,2018-10-14 11:03:22.595390
Sampler,2018-10-14 11:05:27.739220
DFR,2018-10-14 11:05:37.744631
Dumpster Diver,2018-10-14 11:05:47.720324
Dumpster Diver,2018-10-14 11:05:57.788540
Rocket 9,2018-10-14 11:06:07.738872
Black and White,2018-10-14 11:06:17.731495
Semi Pro 12,2018-10-14 11:06:27.684254
Twin Fin,2018-10-14 11:06:37.745324
Semi Pro 12,2018-10-14 11:06:47.612588
OG Flyer,2018-10-14 11:06:57.729701
#4,2018-10-14 11:07:06.412413
Semi Pro 12,2018-10-14 11:07:07.711487
Rook 15,2018-10-14 11:07:16.366757
Average Joe,2018-10-14 11:07:17.823906
The Peregrine,2018-10-14 11:07:26.643812
Weirdo Ripper,2018-10-14 11:07:28.020893
T-Low,2018-10-14 11:07:37.693438
Bonzer 3D,2018-10-14 11:07:44.299035
Bonzer Shelter,2018-10-14 11:07:48.979650
The New Flyer,2018-10-14 11:07:54.247036
The Black Beauty,2018-10-14 11:07:57.751568
Mini Eco-hybrid,2018-10-14 11:08:04.367581
Biscuit Bonzer,2018-10-14 11:08:07.938790
Twin Fin,2018-10-14 11:08:14.242053
Taco Grinder,2018-10-14 11:08:17.769257
Twin Fin,2018-10-14 11:08:24.379182
Dumpster Diver,2018-10-14 11:08:34.325190
The Peregrine,2018-10-14 11:08:44.160503
The Proton,2018-10-14 11:08:55.530659
The Peregrine,2018-10-14 11:09:04.198641
Weirdo Ripper,2018-10-14 11:09:15.604968
Girabbit,2018-10-14 11:09:24.197351
Rook 15,2018-10-14 11:09:34.382758
Fred Stubble,2018-10-14 11:09:44.262736
Bonzer 3D,2018-10-14 11:09:54.301087
Girabbit,2018-10-14 11:10:04.606897
The Water Hog,2018-10-14 11:10:14.303649
Dumpster Diver,2018-10-14 11:10:24.249100
The Neck Beard,2018-10-14 11:10:35.098559
Dumpster Diver,2018-10-14 11:10:44.269129
Weirdo Ripper,2018-10-14 11:10:54.028099
The Peregrine,2018-10-14 11:11:04.144464
Sampler,2018-10-14 11:11:14.282274
Bonzer 3D,2018-10-14 11:11:24.181359
The Water Hog,2018-10-14 11:11:35.489221
Black and White,2018-10-14 11:11:44.310320
Rocket 9,2018-10-14 11:11:54.380872
Taco Grinder,2018-10-14 11:12:04.240084
Bonzer Shelter,2018-10-14 11:12:14.333970
Zeus,2018-10-14 11:12:24.159077
Black and White,2018-10-14 11:12:34.326134
The Water Hog,2018-10-14 11:12:44.327112
The Neck Beard,2018-10-14 11:12:54.056065
Bonzer 3D,2018-10-14 11:13:04.498457
Weirdo Ripper,2018-10-14 11:13:14.051794
Bunny Chow,2018-10-14 11:13:24.135800
Biscuit Bonzer,2018-10-14 11:13:34.145418
T-Low,2018-10-14 11:13:44.145166
Bonzer Shelter,2018-10-14 11:13:54.260132
The Black Beauty,2018-10-14 11:14:04.175943
Black and White,2018-10-14 11:14:14.302675
Bunny Chow,2018-10-14 11:14:24.055433
T-Low,2018-10-14 11:14:34.168146
Fred Rubble,2018-10-14 11:14:44.069693
Bonzer 3D,2018-10-14 11:14:54.301503
The Water Hog,2018-10-14 11:15:04.160498
Rook 15,2018-10-14 11:15:14.247545
Biscuit Bonzer,2018-10-14 11:15:24.248254
Average Joe,2018-10-14 11:15:34.074095
Bonzer Shelter,2018-10-14 11:15:44.180845
Mini Eco-hybrid,2018-10-14 11:15:54.067818
Rocket Wide,2018-10-14 11:16:04.233138
High 5,2018-10-14 11:16:14.129956
The Black Beauty,2018-10-14 11:16:25.315817
Zeus,2018-10-14 11:16:34.172593
